epoch,training_loss,val_loss
0,0.5440524750800143,0.2645119642271363
1,0.2381986389061854,0.23064846291764235
2,0.21627037458662707,0.21287411467362477
3,0.20329625990485517,0.20130781119015054
4,0.16293429234934664,0.14858134833288023
5,0.12703177231370352,0.1189257383453376
6,0.10973453963821526,0.11380656581625716
7,0.10438438367141978,0.11059094514150346
8,0.1014948894381345,0.10917507736913619
9,0.09898701240705098,0.10688512096695575
10,0.09645958277078255,0.10778777509607294
11,0.08760622336521126,0.09569231682460368
12,0.08190651383993339,0.09596405139586832
13,0.0798479387136513,0.09889135830184465
14,0.07830567360770214,0.09848775717306309
15,0.07667784665969724,0.10045806470737663
16,0.07626277308945589,0.10030018092269966
17,0.07423977835439446,0.10399203472453633
18,0.07300144441543781,0.1080634857003834
19,0.07209380499491023,0.11206494196982367
20,0.07023623253797323,0.11985000714285826
21,0.06968563814901543,0.11370331217204371
22,0.06842010825970367,0.12516566032149887
23,0.06741052991419826,0.12346798440568336
24,0.0665300727271218,0.12517809590131151
